timestamp,node_id,parent_node_id,rank,position_x,position_y,energy_consumption,rssi,dio_received,dio_transmitted,dao_received,dao_transmitted,app_packet_received,app_packet_transmitted,packet_loss_rate,neighbor_count,ipv6_address,attack_active,attack_type,is_attacker,node_attack_type,has_geolife,geolife_progress
0,0,,0,454,300,0.01,-66.8,2,0,1,0,1,1,100,6,2001:db8::eac7:2e2e:aec9:a958,false,none,false,none,false,0
0,1,,,80.08,251.47,0.01,-63,3,0,0,0,0,0,0,14,2001:db8::b1dd:ee70:c4ab:985a,false,none,false,none,true,1.15
0,2,,,53.78,132.07,0.01,-61.7,2,0,0,0,0,0,0,4,2001:db8::2e93:3235:b61b:c0f1,false,none,false,none,true,0.38
0,3,,,60.6,137.76,0.01,-48.5,2,0,0,0,0,1,100,4,2001:db8::68e5:e25d:41a2:2765,false,none,false,none,true,0.65
0,4,,,54.7,132.66,0.01,-36,1,1,0,0,0,0,100,4,2001:db8::5f86:3ab4:20b9:35d7,false,none,false,none,true,0.88
0,5,,,86.73,254.38,0.01,-48.8,3,0,0,0,0,1,100,14,2001:db8::1608:a11b:2c87:023b,false,none,false,none,true,7.69
0,6,,,87.7,247.02,0.01,-39.8,3,0,0,0,0,0,0,14,2001:db8::59da:8740:8598:652a,false,none,false,none,true,6.67
0,7,,,87.19,258.25,0.01,-35,2,1,0,0,0,1,100,14,2001:db8::8138:7a45:508b:95cf,false,none,false,none,true,5.56
0,8,,,88.28,246.56,0.01,-36.8,3,0,0,0,0,0,0,14,2001:db8::a89d:95be:3148:d943,false,none,false,none,true,0.36
0,9,,,87.07,246.76,0.01,-41.3,3,0,0,0,0,0,0,14,2001:db8::2f11:2cea:6aab:eca2,false,none,false,none,true,10.00
0,10,,,85.35,260.64,0.01,-38.5,3,0,0,0,0,0,0,14,2001:db8::97dd:357a:1d56:a1c7,false,none,false,none,true,6.25
0,11,,,87.47,246.44,0.01,-53.7,2,1,0,0,0,0,0,14,2001:db8::c80c:5dc6:eca0:035e,false,none,false,none,true,8.33
