timestamp,node_id,parent_node_id,rank,position_x,position_y,energy_consumption,rssi,dio_received,dio_transmitted,dao_received,dao_transmitted,app_packet_received,app_packet_transmitted,packet_loss_rate,neighbor_count,ipv6_address,attack_active,attack_type,is_attacker,node_attack_type,has_geolife,geolife_progress
0,0,,0,454,300,0.01,-63.7,1,1,0,0,2,1,100,4,2001:db8::a788:82f7:27fb:8efa,false,none,false,none,false,0
0,1,,,80.08,251.47,0.01,-38.4,2,0,0,0,0,1,100,14,2001:db8::9c4b:1705:5de2:06c6,false,none,false,none,true,1.15
0,2,,,53.78,132.07,0.01,-49.3,1,0,0,0,0,0,0,2,2001:db8::78e3:48e7:b6b5:e310,false,none,false,none,true,0.38
0,3,,,60.6,137.76,0.01,-58.3,1,0,0,0,0,0,0,2,2001:db8::499d:0eb7:2746:c506,false,none,false,none,true,0.65
0,4,,,54.7,132.66,0.01,-51.7,0,1,0,0,0,0,100,2,2001:db8::1a33:16a1:fcdb:de49,false,none,false,none,true,0.88
0,5,,,86.73,254.38,0.01,-60.3,2,0,0,0,0,0,0,14,2001:db8::109a:e974:8ac0:6cca,false,none,false,none,true,7.69
0,6,,,87.7,247.02,0.01,-69.9,2,0,0,0,0,0,0,14,2001:db8::758c:2ac1:8ab7:e590,false,none,false,none,true,6.67
0,7,,,87.19,258.25,0.01,-51.7,2,0,0,0,0,1,100,14,2001:db8::7dae:6cab:e096:5f37,false,none,false,none,true,5.56
0,8,,,88.28,246.56,0.01,-67.4,1,1,0,0,0,0,100,14,2001:db8::58f3:5bbf:2c4f:267f,false,none,false,none,true,0.36
0,9,,,87.07,246.76,0.01,-46,2,0,0,0,0,0,0,14,2001:db8::23d2:6361:dde8:2f6d,false,none,false,none,true,10.00
0,10,,,85.35,260.64,0.01,-64.7,2,0,0,0,0,0,0,14,2001:db8::489f:b771:ffac:4419,false,none,false,none,true,6.25
0,11,,,87.47,246.44,0.01,-69.8,2,0,0,0,0,0,0,14,2001:db8::002b:9c9c:1987:1421,false,none,false,none,true,8.33
0,12,,,85.58,254.7,0.01,-45.8,2,0,0,0,0,1,0,14,2001:db8::894a:519c:5577:6193,false,none,false,none,true,1.52
0,13,,,83.41,247.08,0.01,-69.6,2,0,0,0,0,0,0,14,2001:db8::3d50:c2d6:f7d9:aa24,false,none,false,none,true,7.69
0,14,,,81.52,255.67,0.01,-47.9,1,1,0,0,0,1,50,14,2001:db8::55b4:31f4:b2e1:b0ea,false,none,false,none,true,2.56
0,15,,,88.51,246.11,0.01,-64.5,2,0,0,0,0,0,0,14,2001:db8::62c3:0389:2ebb:8961,false,none,false,none,true,7.14
0,16,,,83.98,250.25,0.01,-66.8,2,0,0,0,0,1,0,14,2001:db8::c268:37ac:f860:bd70,false,none,false,none,true,0.56
0,17,,,87.76,247.08,0.01,-50.9,2,0,0,0,0,1,0,14,2001:db8::8d17:91bb:1ebd:483f,false,none,false,none,true,8.33
0,18,,,780.28,541.14,0.01,-69.5,0,1,0,0,0,1,100,2,2001:db8::4a06:1ee5:83dd:fd47,false,none,false,none,false,0
0,19,24,,298.2,464.71,0.01,-49,0,0,0,0,0,0,0,1,2001:db8::f0e4:ac40:2587:d722,false,none,false,none,false,0
0,20,,,140.84,396.38,0.01,-42.8,0,0,0,0,0,1,100,0,2001:db8::6884:3844:f7c1:cab7,false,none,false,none,false,0
0,21,,,147.72,198.16,0.01,-32.9,2,0,0,0,0,0,0,15,2001:db8::24e7:c9b8:48f3:087e,false,none,false,none,false,0
0,22,,,786.15,539.66,0.01,-50.1,1,0,0,0,0,0,0,2,2001:db8::938b:9137:1115:ea34,false,none,false,none,false,0
0,23,,1,404.28,356.1,0.01,-45,1,0,1,0,2,0,0,4,2001:db8::326f:d6af:7455:ca4f,false,none,false,none,false,0
0,24,23,2,341.08,361.35,0.01,-44.7,0,0,0,0,0,1,100,3,2001:db8::c5ae:b791:cb2d:e005,false,none,false,none,false,0
0,25,,,232.89,286.8,0.01,-43.7,1,0,0,0,0,1,100,2,2001:db8::cf8b:eab0:4842:d700,false,none,false,none,false,0
0,26,,,839.73,478.74,0.01,-60.9,1,0,0,0,0,1,0,2,2001:db8::e852:89bb:20ea:9dad,false,none,false,none,false,0
0,27,,,792.19,349.81,0.01,-57.6,0,0,0,0,0,1,100,0,2001:db8::0955:4f44:c3a4:cf7d,false,none,false,none,false,0
0,28,,,706.58,114.45,0.01,-37.1,2,0,0,0,0,1,100,4,2001:db8::03e0:4a3d:8a41:a03a,false,none,false,none,false,0
0,29,,,779.82,91.2,0.01,-33,0,1,0,0,0,0,100,3,2001:db8::3f48:e82d:bb50:5e6e,false,none,false,none,false,0
0,30,,1,513.77,319.38,0.01,-36.9,1,0,0,0,0,1,0,2,2001:db8::169c:be87:f65c:f129,false,none,false,none,false,0
0,31,23,2,359.33,446.4,0.01,-41.9,0,0,0,0,0,0,0,5,2001:db8::ae5e:5ba5:5f13:87db,false,none,false,none,false,0
0,32,,,707.66,57.82,0.01,-31.4,2,0,0,0,0,0,0,4,2001:db8::cea9:9908:d401:fb1d,false,none,false,none,false,0
0,33,43,,561.32,479.84,0.01,-46.8,1,0,0,0,0,0,0,1,2001:db8::3e9b:694e:727b:5e86,false,none,false,none,false,0
0,34,23,2,424.63,435.94,0.01,-47.8,0,0,0,1,0,1,100,3,2001:db8::40db:9250:cfed:3c98,false,none,false,none,false,0
0,35,33,,621.61,543.66,0.01,-43.9,0,1,0,0,0,0,100,1,2001:db8::3c4f:f1f9:f821:19f1,false,none,false,none,false,0
0,36,41,,632.63,339,0.01,-41.1,0,0,0,0,0,0,0,1,2001:db8::6c04:d027:0dbd:6c13,false,none,false,none,false,0
0,37,,1,417.01,215.12,0.01,-45.4,1,1,0,0,0,0,0,1,2001:db8::1adf:06e1:aed6:cb54,false,none,false,none,false,0
0,38,,,228.36,262.87,0.01,-55.2,0,1,0,0,0,1,100,2,2001:db8::66ff:307a:a595:b6d8,false,none,false,none,false,0
0,39,,,802.5,218.05,0.01,-64.4,0,1,0,0,0,0,100,0,2001:db8::acf7:cd1e:2960:cfb8,false,none,false,none,false,0
0,40,,,531.17,139.86,0.01,-66.3,0,0,0,0,0,0,0,0,2001:db8::23fc:da56:855e:36eb,false,none,false,none,false,0
0,41,49,,630.38,244.37,0.01,-45.2,0,0,0,0,0,0,0,1,2001:db8::d541:e747:5e40:b15c,false,none,false,none,false,0
0,42,,,193.84,71.28,0.01,-55.9,0,0,0,0,0,1,100,0,2001:db8::50a0:926f:b8a9:2c7a,false,none,false,none,false,0
0,43,23,2,457.2,457.92,0.01,-44.1,0,0,0,0,0,0,0,2,2001:db8::079a:a594:5094:687f,false,none,false,none,false,0
0,44,,,727,427.81,0.01,-69.1,0,1,0,0,0,0,100,0,2001:db8::03fd:ed3f:59f0:ae6a,false,none,false,none,false,0
0,45,,,714.34,122.3,0.01,-46.7,2,0,0,0,0,1,0,4,2001:db8::416e:e7e1:81e1:6e9d,false,none,false,none,false,0
0,46,,,634.7,77.79,0.01,-40.1,0,1,0,0,0,1,100,3,2001:db8::d9f3:392e:e3df:66b8,false,none,false,none,false,0
0,47,,1,353.8,351.38,0.01,-50.1,0,0,0,0,0,1,100,3,2001:db8::ac50:7dd2:a5a2:017d,false,none,false,none,false,0
0,48,,,235.24,239.31,0.01,-41.1,1,0,0,0,0,0,0,3,2001:db8::4148:325b:f420:11a7,false,none,false,none,false,0
0,49,,1,517.07,266.95,0.01,-41.8,1,0,0,0,0,0,0,2,2001:db8::421f:9f4f:9633:1720,false,none,false,none,false,0
1000,0,,0,454,300,0.32,-63.7,11,4,7,0,18,5,0,4,2001:db8::a788:82f7:27fb:8efa,false,none,false,none,false,0
1000,1,,,74.75,244.5,0.34,-38.4,51,4,0,0,0,7,0,15,2001:db8::9c4b:1705:5de2:06c6,false,none,false,none,true,12.64
1000,2,,,60.94,142.34,0.17,-49.3,7,2,0,0,0,3,0,2,2001:db8::78e3:48e7:b6b5:e310,false,none,false,none,true,4.14
1000,3,,,60.54,153.19,0.2,-58.3,9,4,0,0,0,4,25,10,2001:db8::499d:0eb7:2746:c506,false,none,false,none,true,7.10
1000,4,,,51.95,136.21,0.22,-51.7,6,3,0,0,0,6,33.3,2,2001:db8::1a33:16a1:fcdb:de49,false,none,false,none,true,9.65
1000,5,,,88.51,247.27,0.32,-60.3,52,3,0,0,0,6,0,15,2001:db8::109a:e974:8ac0:6cca,false,none,false,none,true,84.62
1000,6,,,86.21,255.09,0.33,-69.9,51,3,0,0,0,6,0,14,2001:db8::758c:2ac1:8ab7:e590,false,none,false,none,true,73.33
1000,7,,,86.33,249.47,0.31,-51.7,52,2,0,0,0,4,0,15,2001:db8::7dae:6cab:e096:5f37,false,none,false,none,true,61.11
1000,8,,,88.68,258.4,0.28,-67.4,49,5,0,0,0,1,0,14,2001:db8::58f3:5bbf:2c4f:267f,false,none,false,none,true,3.94
1000,9,,,87.07,246.76,0.32,-46,48,7,0,0,0,3,0,15,2001:db8::23d2:6361:dde8:2f6d,false,none,false,none,true,10.00
1000,10,,,86.16,248.57,0.3,-64.7,51,3,0,0,0,4,0,15,2001:db8::489f:b771:ffac:4419,false,none,false,none,true,68.75
1000,11,,,83.29,252.96,0.31,-69.8,51,3,0,0,0,4,0,14,2001:db8::002b:9c9c:1987:1421,false,none,false,none,true,91.67
1000,12,,,83.58,255.93,0.32,-45.8,51,3,0,0,0,3,0,14,2001:db8::894a:519c:5577:6193,false,none,false,none,true,16.67
1000,13,,,80.48,251.86,0.31,-69.6,53,1,0,0,0,4,0,14,2001:db8::3d50:c2d6:f7d9:aa24,false,none,false,none,true,84.62
1000,14,,,84.5,247.02,0.33,-47.9,52,3,0,0,0,4,0,15,2001:db8::55b4:31f4:b2e1:b0ea,false,none,false,none,true,28.21
1000,15,,,83.58,250.83,0.34,-64.5,51,3,0,0,0,6,0,14,2001:db8::62c3:0389:2ebb:8961,false,none,false,none,true,78.57
1000,16,,,87.07,247.15,0.32,-66.8,53,2,0,0,0,3,0,15,2001:db8::c268:37ac:f860:bd70,false,none,false,none,true,6.21
1000,17,,,83.18,253.15,0.32,-50.9,48,6,0,0,0,3,0,14,2001:db8::8d17:91bb:1ebd:483f,false,none,false,none,true,91.67
1000,18,,,780.28,541.14,0.22,-69.5,6,4,0,0,0,6,50,2,2001:db8::4a06:1ee5:83dd:fd47,false,none,false,none,false,0
1000,19,24,,298.2,464.71,0.14,-50.1,3,2,0,2,0,1,60,1,2001:db8::f0e4:ac40:2587:d722,false,none,false,none,false,0
1000,20,,,140.84,396.38,0.16,-42.8,0,1,0,0,0,3,100,0,2001:db8::6884:3844:f7c1:cab7,false,none,false,none,false,0
1000,21,,,147.72,198.16,0.35,-32.9,52,6,0,0,0,4,0,16,2001:db8::24e7:c9b8:48f3:087e,false,none,false,none,false,0
1000,22,,,786.15,539.66,0.17,-50.1,7,3,0,0,0,2,0,2,2001:db8::938b:9137:1115:ea34,false,none,false,none,false,0
1000,23,,1,404.28,356.1,0.28,-43.3,12,0,9,1,23,3,0,4,2001:db8::326f:d6af:7455:ca4f,false,none,false,none,false,0
1000,24,23,2,341.08,361.35,0.21,-39.4,4,3,2,4,1,5,50,3,2001:db8::c5ae:b791:cb2d:e005,false,none,false,none,false,0
